timestamp_ist,action,token_in,amount_in,token_out,amount_out,sol_inr_price,usd_inr_price,gross_inr_value,fee_inr,cost_basis_inr,realized_pnl_inr,tx_signature,route_summary,paper_mode
2026-06-24 03:30:37,BUY_JTO,USDC,28.03917600,JTO,41.44885524,64.0253,94.7400,2656.43,0.05,2656.43,0.00,,USDC->JTO (direct) [PAPER],true
2026-06-24 21:58:55,STOP_LOSS_JTO,JTO,41.44885524,USDC,27.10114772,61.9615,94.6700,2568.23,0.05,2656.43,-90.77,,JTO->USDC (direct) [PAPER],true
2026-06-25 07:00:12,BUY_JTO,USDC,25.43486900,JTO,36.80393108,65.3602,94.6700,2407.92,0.05,2407.92,0.00,,USDC->JTO (direct) [PAPER],true
2026-06-25 23:02:44,EOD_FLATTEN_JTO,JTO,36.80393108,USDC,24.36925235,62.5617,94.3900,2302.52,0.05,2407.92,-107.71,,JTO->USDC (direct) [PAPER],true
2026-06-28 19:38:06,BUY_JTO,USDC,23.73665100,JTO,27.60204156,81.0990,94.4000,2240.74,0.05,2240.74,0.00,,USDC->JTO (direct) [PAPER],true
2026-06-28 23:43:22,EOD_FLATTEN_JTO,JTO,27.60204156,USDC,22.35184079,76.5206,94.4000,2112.13,0.05,2240.74,-130.73,,JTO->USDC (direct) [PAPER],true
2026-07-06 03:57:20,BUY_SOL,USDC,43.35601400,SOL,0.52781694,7812.9326,95.2100,4127.93,0.05,4127.93,0.00,,USDC->SOL (direct) [PAPER],true
2026-07-06 11:37:50,STOP_LOSS_SOL,SOL,0.52781694,USDC,42.35713546,7648.2193,95.2100,4036.86,0.05,4127.93,-95.10,,SOL->USDC (direct) [PAPER],true
2026-07-06 23:00:37,BUY_SOL,USDC,42.40707900,SOL,0.51708376,7816.1220,95.4000,4045.64,0.05,4045.64,0.00,,USDC->SOL (direct) [PAPER],true
2026-07-07 23:53:46,EOD_FLATTEN_SOL,SOL,0.51708376,USDC,42.50827218,7815.0813,94.9700,4041.05,0.05,4045.64,-8.62,,SOL->USDC (direct) [PAPER],true
2026-07-09 13:50:39,BUY_SOL,USDC,42.50321300,SOL,0.54353187,7464.1916,95.5600,4061.61,0.05,4061.61,0.00,,USDC->SOL (direct) [PAPER],true
2026-07-10 22:42:35,EOD_FLATTEN_SOL,SOL,0.54353187,USDC,42.24449322,7417.4520,95.3400,4031.62,0.05,4061.61,-34.02,,SOL->USDC (direct) [PAPER],true
2026-07-11 20:55:59,BUY_SOL,USDC,42.25742900,SOL,0.53633810,7504.2114,95.3400,4028.82,0.05,4028.82,0.00,,USDC->SOL (direct) [PAPER],true
2026-07-11 23:05:36,EOD_FLATTEN_SOL,SOL,0.53633810,USDC,41.84075936,7445.1006,95.3400,3993.09,0.05,4028.82,-39.73,,SOL->USDC (direct) [PAPER],true
2026-07-19 00:01:34,BUY_SOL,USDC,41.86159300,SOL,0.55515374,7252.7724,96.2800,4030.43,0.05,4030.43,0.00,,USDC->SOL (direct) [PAPER],true
2026-07-19 23:06:46,EOD_FLATTEN_SOL,SOL,0.55515374,USDC,42.18831445,7324.0196,96.2800,4065.96,0.05,4030.43,31.46,,SOL->USDC (direct) [PAPER],true
2026-07-22 21:34:43,BUY_SOL,USDC,42.17197800,SOL,0.53750710,7570.1223,96.5700,4072.55,0.05,4072.55,0.00,,USDC->SOL (direct) [PAPER],true
2026-07-22 23:14:15,EOD_FLATTEN_SOL,SOL,0.53750710,USDC,42.11452532,7573.9851,96.5700,4071.07,0.05,4072.55,-5.55,,SOL->USDC (direct) [PAPER],true
2026-07-23 05:16:47,BUY_JTO,USDC,41.44629900,JTO,65.89981283,60.6749,96.5700,4002.47,0.05,4002.47,0.00,,USDC->JTO (direct) [PAPER],true
2026-07-23 10:26:17,STOP_LOSS_JTO,JTO,65.89981283,USDC,40.19160416,58.9560,96.5700,3885.19,0.05,4002.47,-121.17,,JTO->USDC (direct) [PAPER],true
2026-08-03 04:45:58,BUY_JTO,USDC,40.92543800,JTO,82.41183801,47.3230,95.3900,3903.88,0.05,3903.88,0.00,,USDC->JTO (direct) [PAPER],true
2026-08-03 22:50:48,EOD_FLATTEN_JTO,JTO,82.41183801,USDC,40.89302604,47.3554,95.3400,3902.64,0.05,3903.88,-5.14,,JTO->USDC (direct) [PAPER],true
2026-08-07 17:03:56,BUY_SOL,USDC,40.89464700,SOL,0.55575775,7000.3573,95.2300,3894.40,0.05,3894.40,0.00,,USDC->SOL (direct) [PAPER],true
